type,dataset_a,image_a,class_a,dataset_b,image_b,class_b,similarity_metric,is_cross_dataset
EXACT_SHA256,Primary,Sheath blight_233,Sheath Blight,Primary,Sheath blight_234,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_235,Sheath Blight,Primary,Sheath blight_236,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_237,Sheath Blight,Primary,Sheath blight_238,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_239,Sheath Blight,Primary,Sheath blight_240,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_247,Sheath Blight,Primary,Sheath blight_248,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_249,Sheath Blight,Primary,Sheath blight_250,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_252,Sheath Blight,Primary,Sheath blight_253,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_275,Sheath Blight,Primary,Sheath blight_276,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_277,Sheath Blight,Primary,Sheath blight_278,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_279,Sheath Blight,Primary,Sheath blight_280,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_281,Sheath Blight,Primary,Sheath blight_282,Sheath Blight,sha256_match,False
EXACT_SHA256,Primary,Sheath blight_346,Sheath Blight,Primary,Sheath blight_347,Sheath Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_073,Bacterial Blight,Sethy,BACTERAILBLIGHT3_087,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_074,Bacterial Blight,Sethy,BACTERAILBLIGHT3_084,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_074,Bacterial Blight,Sethy,BACTERAILBLIGHT3_086,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_074,Bacterial Blight,Sethy,BACTERAILBLIGHT3_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_074,Bacterial Blight,Sethy,BACTERAILBLIGHT3_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_084,Bacterial Blight,Sethy,BACTERAILBLIGHT3_086,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_084,Bacterial Blight,Sethy,BACTERAILBLIGHT3_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_084,Bacterial Blight,Sethy,BACTERAILBLIGHT3_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_086,Bacterial Blight,Sethy,BACTERAILBLIGHT3_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_086,Bacterial Blight,Sethy,BACTERAILBLIGHT3_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_088,Bacterial Blight,Sethy,BACTERAILBLIGHT3_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_077,Bacterial Blight,Sethy,BACTERAILBLIGHT3_091,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_083,Bacterial Blight,Sethy,BACTERAILBLIGHT3_085,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_083,Bacterial Blight,Sethy,BACTERAILBLIGHT3_168,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_085,Bacterial Blight,Sethy,BACTERAILBLIGHT3_168,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_089,Bacterial Blight,Sethy,BACTERAILBLIGHT3_173,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_106,Bacterial Blight,Sethy,BACTERAILBLIGHT3_202,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_115,Bacterial Blight,Sethy,BACTERAILBLIGHT3_152,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_116,Bacterial Blight,Sethy,BACTERAILBLIGHT3_153,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_117,Bacterial Blight,Sethy,BACTERAILBLIGHT3_251,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_118,Bacterial Blight,Sethy,BACTERAILBLIGHT3_155,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_119,Bacterial Blight,Sethy,BACTERAILBLIGHT3_156,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_120,Bacterial Blight,Sethy,BACTERAILBLIGHT3_157,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_121,Bacterial Blight,Sethy,BACTERAILBLIGHT3_158,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_122,Bacterial Blight,Sethy,BACTERAILBLIGHT3_159,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_123,Bacterial Blight,Sethy,BACTERAILBLIGHT3_160,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_124,Bacterial Blight,Sethy,BACTERAILBLIGHT3_161,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_126,Bacterial Blight,Sethy,BACTERAILBLIGHT3_162,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_127,Bacterial Blight,Sethy,BACTERAILBLIGHT3_163,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_128,Bacterial Blight,Sethy,BACTERAILBLIGHT3_166,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_130,Bacterial Blight,Sethy,BACTERAILBLIGHT3_167,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_169,Bacterial Blight,Sethy,BACTERAILBLIGHT3_181,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_170,Bacterial Blight,Sethy,BACTERAILBLIGHT3_180,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_170,Bacterial Blight,Sethy,BACTERAILBLIGHT3_182,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_170,Bacterial Blight,Sethy,BACTERAILBLIGHT3_184,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_170,Bacterial Blight,Sethy,BACTERAILBLIGHT3_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_180,Bacterial Blight,Sethy,BACTERAILBLIGHT3_182,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_180,Bacterial Blight,Sethy,BACTERAILBLIGHT3_184,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_180,Bacterial Blight,Sethy,BACTERAILBLIGHT3_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_182,Bacterial Blight,Sethy,BACTERAILBLIGHT3_184,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_182,Bacterial Blight,Sethy,BACTERAILBLIGHT3_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_184,Bacterial Blight,Sethy,BACTERAILBLIGHT3_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_171,Bacterial Blight,Sethy,BACTERAILBLIGHT3_183,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_175,Bacterial Blight,Sethy,BACTERAILBLIGHT3_187,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_211,Bacterial Blight,Sethy,BACTERAILBLIGHT3_249,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_212,Bacterial Blight,Sethy,BACTERAILBLIGHT3_250,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_214,Bacterial Blight,Sethy,BACTERAILBLIGHT3_252,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_215,Bacterial Blight,Sethy,BACTERAILBLIGHT3_253,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_216,Bacterial Blight,Sethy,BACTERAILBLIGHT3_254,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_217,Bacterial Blight,Sethy,BACTERAILBLIGHT3_255,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_218,Bacterial Blight,Sethy,BACTERAILBLIGHT3_256,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_220,Bacterial Blight,Sethy,BACTERAILBLIGHT3_258,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_222,Bacterial Blight,Sethy,BACTERAILBLIGHT3_259,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_223,Bacterial Blight,Sethy,BACTERAILBLIGHT3_260,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_224,Bacterial Blight,Sethy,BACTERAILBLIGHT3_263,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT3_226,Bacterial Blight,Sethy,BACTERAILBLIGHT3_264,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_073,Bacterial Blight,Sethy,BACTERAILBLIGHT4_087,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_074,Bacterial Blight,Sethy,BACTERAILBLIGHT4_084,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_074,Bacterial Blight,Sethy,BACTERAILBLIGHT4_086,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_074,Bacterial Blight,Sethy,BACTERAILBLIGHT4_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_074,Bacterial Blight,Sethy,BACTERAILBLIGHT4_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_084,Bacterial Blight,Sethy,BACTERAILBLIGHT4_086,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_084,Bacterial Blight,Sethy,BACTERAILBLIGHT4_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_084,Bacterial Blight,Sethy,BACTERAILBLIGHT4_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_086,Bacterial Blight,Sethy,BACTERAILBLIGHT4_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_086,Bacterial Blight,Sethy,BACTERAILBLIGHT4_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_088,Bacterial Blight,Sethy,BACTERAILBLIGHT4_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_077,Bacterial Blight,Sethy,BACTERAILBLIGHT4_091,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_083,Bacterial Blight,Sethy,BACTERAILBLIGHT4_085,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_083,Bacterial Blight,Sethy,BACTERAILBLIGHT4_168,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_085,Bacterial Blight,Sethy,BACTERAILBLIGHT4_168,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_089,Bacterial Blight,Sethy,BACTERAILBLIGHT4_173,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_106,Bacterial Blight,Sethy,BACTERAILBLIGHT4_202,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_115,Bacterial Blight,Sethy,BACTERAILBLIGHT4_152,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_116,Bacterial Blight,Sethy,BACTERAILBLIGHT4_153,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_117,Bacterial Blight,Sethy,BACTERAILBLIGHT4_251,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_118,Bacterial Blight,Sethy,BACTERAILBLIGHT4_155,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_119,Bacterial Blight,Sethy,BACTERAILBLIGHT4_156,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_120,Bacterial Blight,Sethy,BACTERAILBLIGHT4_157,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_121,Bacterial Blight,Sethy,BACTERAILBLIGHT4_158,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_122,Bacterial Blight,Sethy,BACTERAILBLIGHT4_159,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_123,Bacterial Blight,Sethy,BACTERAILBLIGHT4_160,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_124,Bacterial Blight,Sethy,BACTERAILBLIGHT4_161,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_126,Bacterial Blight,Sethy,BACTERAILBLIGHT4_162,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_127,Bacterial Blight,Sethy,BACTERAILBLIGHT4_163,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_128,Bacterial Blight,Sethy,BACTERAILBLIGHT4_166,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_130,Bacterial Blight,Sethy,BACTERAILBLIGHT4_167,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_169,Bacterial Blight,Sethy,BACTERAILBLIGHT4_181,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_170,Bacterial Blight,Sethy,BACTERAILBLIGHT4_180,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_170,Bacterial Blight,Sethy,BACTERAILBLIGHT4_182,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_170,Bacterial Blight,Sethy,BACTERAILBLIGHT4_184,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_170,Bacterial Blight,Sethy,BACTERAILBLIGHT4_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_180,Bacterial Blight,Sethy,BACTERAILBLIGHT4_182,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_180,Bacterial Blight,Sethy,BACTERAILBLIGHT4_184,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_180,Bacterial Blight,Sethy,BACTERAILBLIGHT4_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_182,Bacterial Blight,Sethy,BACTERAILBLIGHT4_184,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_182,Bacterial Blight,Sethy,BACTERAILBLIGHT4_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_184,Bacterial Blight,Sethy,BACTERAILBLIGHT4_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_171,Bacterial Blight,Sethy,BACTERAILBLIGHT4_183,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_175,Bacterial Blight,Sethy,BACTERAILBLIGHT4_187,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_211,Bacterial Blight,Sethy,BACTERAILBLIGHT4_249,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_212,Bacterial Blight,Sethy,BACTERAILBLIGHT4_250,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_214,Bacterial Blight,Sethy,BACTERAILBLIGHT4_252,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_215,Bacterial Blight,Sethy,BACTERAILBLIGHT4_253,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_216,Bacterial Blight,Sethy,BACTERAILBLIGHT4_254,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_217,Bacterial Blight,Sethy,BACTERAILBLIGHT4_255,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_218,Bacterial Blight,Sethy,BACTERAILBLIGHT4_256,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_220,Bacterial Blight,Sethy,BACTERAILBLIGHT4_258,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_222,Bacterial Blight,Sethy,BACTERAILBLIGHT4_259,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_223,Bacterial Blight,Sethy,BACTERAILBLIGHT4_260,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_224,Bacterial Blight,Sethy,BACTERAILBLIGHT4_263,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT4_226,Bacterial Blight,Sethy,BACTERAILBLIGHT4_264,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_073,Bacterial Blight,Sethy,BACTERAILBLIGHT5_087,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_074,Bacterial Blight,Sethy,BACTERAILBLIGHT5_084,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_074,Bacterial Blight,Sethy,BACTERAILBLIGHT5_086,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_074,Bacterial Blight,Sethy,BACTERAILBLIGHT5_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_074,Bacterial Blight,Sethy,BACTERAILBLIGHT5_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_084,Bacterial Blight,Sethy,BACTERAILBLIGHT5_086,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_084,Bacterial Blight,Sethy,BACTERAILBLIGHT5_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_084,Bacterial Blight,Sethy,BACTERAILBLIGHT5_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_086,Bacterial Blight,Sethy,BACTERAILBLIGHT5_088,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_086,Bacterial Blight,Sethy,BACTERAILBLIGHT5_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_088,Bacterial Blight,Sethy,BACTERAILBLIGHT5_090,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_077,Bacterial Blight,Sethy,BACTERAILBLIGHT5_091,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_083,Bacterial Blight,Sethy,BACTERAILBLIGHT5_085,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_083,Bacterial Blight,Sethy,BACTERAILBLIGHT5_168,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_085,Bacterial Blight,Sethy,BACTERAILBLIGHT5_168,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_089,Bacterial Blight,Sethy,BACTERAILBLIGHT5_173,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_106,Bacterial Blight,Sethy,BACTERAILBLIGHT5_202,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_115,Bacterial Blight,Sethy,BACTERAILBLIGHT5_152,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_116,Bacterial Blight,Sethy,BACTERAILBLIGHT5_153,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_117,Bacterial Blight,Sethy,BACTERAILBLIGHT5_251,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_118,Bacterial Blight,Sethy,BACTERAILBLIGHT5_155,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_119,Bacterial Blight,Sethy,BACTERAILBLIGHT5_156,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_120,Bacterial Blight,Sethy,BACTERAILBLIGHT5_157,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_121,Bacterial Blight,Sethy,BACTERAILBLIGHT5_158,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_122,Bacterial Blight,Sethy,BACTERAILBLIGHT5_159,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_123,Bacterial Blight,Sethy,BACTERAILBLIGHT5_160,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_124,Bacterial Blight,Sethy,BACTERAILBLIGHT5_161,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_126,Bacterial Blight,Sethy,BACTERAILBLIGHT5_162,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_127,Bacterial Blight,Sethy,BACTERAILBLIGHT5_163,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_128,Bacterial Blight,Sethy,BACTERAILBLIGHT5_166,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_130,Bacterial Blight,Sethy,BACTERAILBLIGHT5_167,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_169,Bacterial Blight,Sethy,BACTERAILBLIGHT5_181,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_170,Bacterial Blight,Sethy,BACTERAILBLIGHT5_180,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_170,Bacterial Blight,Sethy,BACTERAILBLIGHT5_182,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_170,Bacterial Blight,Sethy,BACTERAILBLIGHT5_184,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_170,Bacterial Blight,Sethy,BACTERAILBLIGHT5_186,Bacterial Blight,sha256_match,False
EXACT_SHA256,Sethy,BACTERAILBLIGHT5_180,Bacterial Blight,Sethy,BACTERAILBLIGHT5_182,Bacterial Blight,sha256_match,False
